date,company,metric,value
2026-08-08,蜜雪集团,知乎_mentions,0
2026-08-08,蜜雪集团,百度_mentions,0
2026-08-08,小米集团,google_growth_1m,-25.0
2026-08-08,小米集团,google_growth_3m,-20.3
2026-08-08,小米集团,google_value,51.0
2026-08-08,小米集团,抖音_mentions,0
2026-08-08,小米集团,小红书_mentions,0
2026-08-08,小米集团,微博_mentions,0
2026-08-08,小米集团,知乎_mentions,0
2026-08-08,小米集团,百度_mentions,0
2026-08-08,东方甄选,google_growth_1m,-56.2
2026-08-08,东方甄选,google_growth_3m,-12.5
2026-08-08,东方甄选,google_value,7.0
2026-08-08,东方甄选,抖音_mentions,0
2026-08-08,东方甄选,小红书_mentions,0
2026-08-08,东方甄选,微博_mentions,0
2026-08-08,东方甄选,知乎_mentions,0
2026-08-08,东方甄选,百度_mentions,0
2026-08-08,阿里巴巴,google_growth_1m,-12.0
2026-08-08,阿里巴巴,google_growth_3m,-8.3
2026-08-08,阿里巴巴,google_value,22.0
2026-08-08,阿里巴巴,抖音_mentions,0
2026-08-08,阿里巴巴,小红书_mentions,0
2026-08-08,阿里巴巴,微博_mentions,0
2026-08-08,阿里巴巴,知乎_mentions,0
2026-08-08,阿里巴巴,百度_mentions,0
2026-08-08,腾讯控股,google_growth_1m,-27.9
2026-08-08,腾讯控股,google_growth_3m,-14.9
2026-08-08,腾讯控股,google_value,57.0
2026-08-08,腾讯控股,抖音_mentions,0
2026-08-08,腾讯控股,小红书_mentions,0
2026-08-08,腾讯控股,微博_mentions,0
2026-08-08,腾讯控股,知乎_mentions,1
2026-08-08,腾讯控股,百度_mentions,1
2026-08-08,小鹏汽车,google_growth_1m,-2.2
2026-08-08,小鹏汽车,google_growth_3m,8.4
2026-08-08,小鹏汽车,google_value,90.0
2026-08-08,小鹏汽车,抖音_mentions,0
2026-08-08,小鹏汽车,小红书_mentions,0
2026-08-08,小鹏汽车,微博_mentions,0
2026-08-08,小鹏汽车,知乎_mentions,0
2026-08-08,小鹏汽车,百度_mentions,0
2026-08-08,美团,google_growth_1m,-60.4
2026-08-08,美团,google_growth_3m,-46.3
2026-08-08,美团,google_value,36.0
2026-08-08,美团,抖音_mentions,0
2026-08-08,美团,小红书_mentions,0
2026-08-08,美团,微博_mentions,0
2026-08-08,美团,知乎_mentions,0
2026-08-08,美团,百度_mentions,0
2026-08-08,携程,google_growth_1m,-18.2
2026-08-08,携程,google_growth_3m,-16.3
2026-08-08,携程,google_value,36.0
2026-08-08,携程,抖音_mentions,0
2026-08-08,携程,小红书_mentions,0
2026-08-08,携程,微博_mentions,0
2026-08-08,携程,知乎_mentions,1
2026-08-08,携程,百度_mentions,0
2026-08-08,老铺黄金,google_growth_1m,-38.0
2026-08-08,老铺黄金,google_growth_3m,72.2
2026-08-08,老铺黄金,google_value,62.0
2026-08-08,老铺黄金,抖音_mentions,0
2026-08-08,老铺黄金,小红书_mentions,0
2026-08-08,老铺黄金,微博_mentions,0
2026-08-08,老铺黄金,知乎_mentions,0
2026-08-08,老铺黄金,百度_mentions,0
2026-08-08,中芯国际,google_growth_1m,-41.9
2026-08-08,中芯国际,google_growth_3m,-12.2
2026-08-08,中芯国际,google_value,43.0
2026-08-08,中芯国际,抖音_mentions,0
2026-08-08,中芯国际,小红书_mentions,0
2026-08-08,中芯国际,微博_mentions,0
2026-08-08,中芯国际,知乎_mentions,0
2026-08-08,中芯国际,百度_mentions,0
2026-08-08,农夫山泉,google_growth_1m,4.8
2026-08-08,农夫山泉,google_growth_3m,109.5
2026-08-08,农夫山泉,google_value,44.0
2026-08-08,农夫山泉,抖音_mentions,0
2026-08-08,农夫山泉,小红书_mentions,0
2026-08-08,农夫山泉,微博_mentions,0
2026-08-08,农夫山泉,知乎_mentions,0
2026-08-08,农夫山泉,百度_mentions,0
2026-08-08,华虹宏力,google_growth_1m,-45.0
2026-08-08,华虹宏力,google_growth_3m,-23.3
2026-08-08,华虹宏力,google_value,33.0
2026-08-08,华虹宏力,抖音_mentions,0
2026-08-08,华虹宏力,小红书_mentions,0
2026-08-08,华虹宏力,微博_mentions,0
2026-08-08,华虹宏力,知乎_mentions,0
2026-08-08,华虹宏力,百度_mentions,0
2026-08-08,宁德时代,google_growth_1m,-60.9
2026-08-08,宁德时代,google_growth_3m,-54.4
2026-08-08,宁德时代,google_value,36.0
2026-08-08,宁德时代,抖音_mentions,0
2026-08-08,宁德时代,小红书_mentions,0
2026-08-08,宁德时代,微博_mentions,0
2026-08-08,宁德时代,知乎_mentions,0
2026-08-08,宁德时代,百度_mentions,0
2026-08-08,智谱,google_growth_1m,4.7
2026-08-08,智谱,google_growth_3m,-10.0
2026-08-08,智谱,google_value,45.0
2026-08-08,智谱,抖音_mentions,0
2026-08-08,智谱,小红书_mentions,0
2026-08-08,智谱,微博_mentions,0
2026-08-08,智谱,知乎_mentions,0
2026-08-08,智谱,百度_mentions,0
2026-08-09,泡泡玛特,google_growth_1m,-32.1
2026-08-09,泡泡玛特,google_growth_3m,-44.1
2026-08-09,泡泡玛特,google_value,19.0
2026-08-09,泡泡玛特,抖音_mentions,0
2026-08-09,泡泡玛特,小红书_mentions,0
2026-08-09,泡泡玛特,微博_mentions,0
2026-08-09,泡泡玛特,知乎_mentions,0
2026-08-09,泡泡玛特,百度_mentions,0
2026-08-09,蜜雪集团,google_growth_1m,0.0
2026-08-09,蜜雪集团,google_growth_3m,6.7
2026-08-09,蜜雪集团,google_value,16.0
2026-08-09,蜜雪集团,抖音_mentions,0
2026-08-09,蜜雪集团,小红书_mentions,0
2026-08-09,蜜雪集团,微博_mentions,0
2026-08-09,蜜雪集团,知乎_mentions,0
2026-08-09,蜜雪集团,百度_mentions,0
2026-08-09,小米集团,google_growth_1m,-25.0
2026-08-09,小米集团,google_growth_3m,-20.3
2026-08-09,小米集团,google_value,51.0
2026-08-09,小米集团,抖音_mentions,0
2026-08-09,小米集团,小红书_mentions,0
2026-08-09,小米集团,微博_mentions,0
2026-08-09,小米集团,知乎_mentions,0
2026-08-09,小米集团,百度_mentions,0
2026-08-09,东方甄选,google_growth_1m,-56.2
2026-08-09,东方甄选,google_growth_3m,-12.5
2026-08-09,东方甄选,google_value,7.0
2026-08-09,东方甄选,抖音_mentions,0
2026-08-09,东方甄选,小红书_mentions,0
2026-08-09,东方甄选,微博_mentions,0
2026-08-09,东方甄选,知乎_mentions,0
2026-08-09,东方甄选,百度_mentions,0
2026-08-09,阿里巴巴,google_growth_1m,-12.0
2026-08-09,阿里巴巴,google_growth_3m,-8.3
2026-08-09,阿里巴巴,google_value,22.0
2026-08-09,阿里巴巴,抖音_mentions,0
2026-08-09,阿里巴巴,小红书_mentions,0
2026-08-09,阿里巴巴,微博_mentions,0
2026-08-09,阿里巴巴,知乎_mentions,0
2026-08-09,阿里巴巴,百度_mentions,0
2026-08-09,腾讯控股,google_growth_1m,-27.9
2026-08-09,腾讯控股,google_growth_3m,-14.9
2026-08-09,腾讯控股,google_value,57.0
2026-08-09,腾讯控股,抖音_mentions,0
2026-08-09,腾讯控股,小红书_mentions,0
2026-08-09,腾讯控股,微博_mentions,1
2026-08-09,腾讯控股,知乎_mentions,0
2026-08-09,腾讯控股,百度_mentions,0
2026-08-09,小鹏汽车,google_growth_1m,-2.2
2026-08-09,小鹏汽车,google_growth_3m,8.4
2026-08-09,小鹏汽车,google_value,90.0
2026-08-09,小鹏汽车,抖音_mentions,0
2026-08-09,小鹏汽车,小红书_mentions,0
2026-08-09,小鹏汽车,微博_mentions,0
2026-08-09,小鹏汽车,知乎_mentions,0
2026-08-09,小鹏汽车,百度_mentions,0
2026-08-09,美团,google_growth_1m,-60.4
2026-08-09,美团,google_growth_3m,-46.3
2026-08-09,美团,google_value,36.0
2026-08-09,美团,抖音_mentions,0
2026-08-09,美团,小红书_mentions,0
2026-08-09,美团,微博_mentions,0
2026-08-09,美团,知乎_mentions,0
2026-08-09,美团,百度_mentions,0
2026-08-09,携程,google_growth_1m,-18.2
2026-08-09,携程,google_growth_3m,-16.3
2026-08-09,携程,google_value,36.0
2026-08-09,携程,抖音_mentions,0
2026-08-09,携程,小红书_mentions,0
2026-08-09,携程,微博_mentions,0
2026-08-09,携程,知乎_mentions,0
2026-08-09,携程,百度_mentions,0
2026-08-09,老铺黄金,google_growth_1m,-38.0
2026-08-09,老铺黄金,google_growth_3m,72.2
2026-08-09,老铺黄金,google_value,62.0
2026-08-09,老铺黄金,抖音_mentions,0
2026-08-09,老铺黄金,小红书_mentions,0
2026-08-09,老铺黄金,微博_mentions,0
2026-08-09,老铺黄金,知乎_mentions,0
2026-08-09,老铺黄金,百度_mentions,0
2026-08-09,中芯国际,google_growth_1m,-41.9
2026-08-09,中芯国际,google_growth_3m,-12.2
2026-08-09,中芯国际,google_value,43.0
2026-08-09,中芯国际,抖音_mentions,0
2026-08-09,中芯国际,小红书_mentions,0
2026-08-09,中芯国际,微博_mentions,0
2026-08-09,中芯国际,知乎_mentions,0
2026-08-09,中芯国际,百度_mentions,0
2026-08-09,农夫山泉,google_growth_1m,4.8
2026-08-09,农夫山泉,google_growth_3m,109.5
2026-08-09,农夫山泉,google_value,44.0
2026-08-09,农夫山泉,抖音_mentions,0
2026-08-09,农夫山泉,小红书_mentions,0
2026-08-09,农夫山泉,微博_mentions,0
2026-08-09,农夫山泉,知乎_mentions,0
2026-08-09,农夫山泉,百度_mentions,0
2026-08-09,华虹宏力,google_growth_1m,-45.0
2026-08-09,华虹宏力,google_growth_3m,-23.3
2026-08-09,华虹宏力,google_value,33.0
2026-08-09,华虹宏力,抖音_mentions,0
2026-08-09,华虹宏力,小红书_mentions,0
2026-08-09,华虹宏力,微博_mentions,0
2026-08-09,华虹宏力,知乎_mentions,0
2026-08-09,华虹宏力,百度_mentions,0
2026-08-09,宁德时代,google_growth_1m,-60.9
2026-08-09,宁德时代,google_growth_3m,-54.4
2026-08-09,宁德时代,google_value,36.0
2026-08-09,宁德时代,抖音_mentions,0
2026-08-09,宁德时代,小红书_mentions,0
2026-08-09,宁德时代,微博_mentions,0
2026-08-09,宁德时代,知乎_mentions,0
2026-08-09,宁德时代,百度_mentions,0
2026-08-09,智谱,google_growth_1m,4.7
2026-08-09,智谱,google_growth_3m,-10.0
2026-08-09,智谱,google_value,45.0
2026-08-09,智谱,抖音_mentions,0
2026-08-09,智谱,小红书_mentions,0
2026-08-09,智谱,微博_mentions,0
2026-08-09,智谱,知乎_mentions,0
2026-08-09,智谱,百度_mentions,0
2026-08-10,泡泡玛特,google_growth_1m,-32.1
2026-08-10,泡泡玛特,google_growth_3m,-44.1
2026-08-10,泡泡玛特,google_value,19.0
2026-08-10,泡泡玛特,抖音_mentions,0
2026-08-10,泡泡玛特,小红书_mentions,0
2026-08-10,泡泡玛特,微博_mentions,0
2026-08-10,泡泡玛特,知乎_mentions,0
2026-08-10,泡泡玛特,百度_mentions,0
2026-08-10,蜜雪集团,google_growth_1m,0.0
2026-08-10,蜜雪集团,google_growth_3m,6.7
2026-08-10,蜜雪集团,google_value,16.0
2026-08-10,蜜雪集团,抖音_mentions,0
2026-08-10,蜜雪集团,小红书_mentions,0
2026-08-10,蜜雪集团,微博_mentions,0
2026-08-10,蜜雪集团,知乎_mentions,0
2026-08-10,蜜雪集团,百度_mentions,0
2026-08-10,小米集团,google_growth_1m,-25.0
2026-08-10,小米集团,google_growth_3m,-20.3
2026-08-10,小米集团,google_value,51.0
2026-08-10,小米集团,抖音_mentions,0
2026-08-10,小米集团,小红书_mentions,0
2026-08-10,小米集团,微博_mentions,1
2026-08-10,小米集团,知乎_mentions,0
2026-08-10,小米集团,百度_mentions,0
2026-08-10,东方甄选,google_growth_1m,-56.2
2026-08-10,东方甄选,google_growth_3m,-12.5
2026-08-10,东方甄选,google_value,7.0
2026-08-10,东方甄选,抖音_mentions,0
2026-08-10,东方甄选,小红书_mentions,0
2026-08-10,东方甄选,微博_mentions,0
2026-08-10,东方甄选,知乎_mentions,0
2026-08-10,东方甄选,百度_mentions,0
2026-08-10,阿里巴巴,google_growth_1m,-12.0
2026-08-10,阿里巴巴,google_growth_3m,-8.3
2026-08-10,阿里巴巴,google_value,22.0
2026-08-10,阿里巴巴,抖音_mentions,0
2026-08-10,阿里巴巴,小红书_mentions,0
2026-08-10,阿里巴巴,微博_mentions,0
2026-08-10,阿里巴巴,知乎_mentions,0
2026-08-10,阿里巴巴,百度_mentions,0
2026-08-10,腾讯控股,google_growth_1m,-27.9
2026-08-10,腾讯控股,google_growth_3m,-14.9
2026-08-10,腾讯控股,google_value,57.0
2026-08-10,腾讯控股,抖音_mentions,0
2026-08-10,腾讯控股,小红书_mentions,0
2026-08-10,腾讯控股,微博_mentions,0
2026-08-10,腾讯控股,知乎_mentions,0
2026-08-10,腾讯控股,百度_mentions,0
2026-08-10,小鹏汽车,google_growth_1m,-2.2
2026-08-10,小鹏汽车,google_growth_3m,8.4
2026-08-10,小鹏汽车,google_value,90.0
2026-08-10,小鹏汽车,抖音_mentions,0
2026-08-10,小鹏汽车,小红书_mentions,0
2026-08-10,小鹏汽车,微博_mentions,0
2026-08-10,小鹏汽车,知乎_mentions,0
2026-08-10,小鹏汽车,百度_mentions,0
2026-08-10,美团,google_growth_1m,-60.4
2026-08-10,美团,google_growth_3m,-46.3
2026-08-10,美团,google_value,36.0
2026-08-10,美团,抖音_mentions,0
2026-08-10,美团,小红书_mentions,0
2026-08-10,美团,微博_mentions,0
2026-08-10,美团,知乎_mentions,0
2026-08-10,美团,百度_mentions,0
2026-08-10,携程,google_growth_1m,-18.2
2026-08-10,携程,google_growth_3m,-16.3
2026-08-10,携程,google_value,36.0
2026-08-10,携程,抖音_mentions,0
2026-08-10,携程,小红书_mentions,0
2026-08-10,携程,微博_mentions,0
2026-08-10,携程,知乎_mentions,0
2026-08-10,携程,百度_mentions,0
2026-08-10,老铺黄金,google_growth_1m,-38.0
2026-08-10,老铺黄金,google_growth_3m,72.2
2026-08-10,老铺黄金,google_value,62.0
2026-08-10,老铺黄金,抖音_mentions,0
2026-08-10,老铺黄金,小红书_mentions,0
2026-08-10,老铺黄金,微博_mentions,0
2026-08-10,老铺黄金,知乎_mentions,0
2026-08-10,老铺黄金,百度_mentions,0
2026-08-10,中芯国际,google_growth_1m,-41.9
2026-08-10,中芯国际,google_growth_3m,-12.2
2026-08-10,中芯国际,google_value,43.0
2026-08-10,中芯国际,抖音_mentions,0
2026-08-10,中芯国际,小红书_mentions,0
2026-08-10,中芯国际,微博_mentions,0
2026-08-10,中芯国际,知乎_mentions,0
2026-08-10,中芯国际,百度_mentions,0
2026-08-10,农夫山泉,google_growth_1m,4.8
2026-08-10,农夫山泉,google_growth_3m,109.5
2026-08-10,农夫山泉,google_value,44.0
2026-08-10,农夫山泉,抖音_mentions,0
2026-08-10,农夫山泉,小红书_mentions,0
2026-08-10,农夫山泉,微博_mentions,0
2026-08-10,农夫山泉,知乎_mentions,0
2026-08-10,农夫山泉,百度_mentions,0
2026-08-10,华虹宏力,google_growth_1m,-45.0
2026-08-10,华虹宏力,google_growth_3m,-23.3
2026-08-10,华虹宏力,google_value,33.0
2026-08-10,华虹宏力,抖音_mentions,0
2026-08-10,华虹宏力,小红书_mentions,0
2026-08-10,华虹宏力,微博_mentions,0
2026-08-10,华虹宏力,知乎_mentions,0
2026-08-10,华虹宏力,百度_mentions,0
2026-08-10,宁德时代,google_growth_1m,-60.9
2026-08-10,宁德时代,google_growth_3m,-54.4
2026-08-10,宁德时代,google_value,36.0
2026-08-10,宁德时代,抖音_mentions,0
2026-08-10,宁德时代,小红书_mentions,0
2026-08-10,宁德时代,微博_mentions,0
2026-08-10,宁德时代,知乎_mentions,0
2026-08-10,宁德时代,百度_mentions,0
2026-08-10,智谱,google_growth_1m,4.7
2026-08-10,智谱,google_growth_3m,-10.0
2026-08-10,智谱,google_value,45.0
2026-08-10,智谱,抖音_mentions,0
2026-08-10,智谱,小红书_mentions,0
2026-08-10,智谱,微博_mentions,0
2026-08-10,智谱,知乎_mentions,0
2026-08-10,智谱,百度_mentions,0
2026-08-11,泡泡玛特,google_growth_1m,-32.1
2026-08-11,泡泡玛特,google_growth_3m,-44.1
2026-08-11,泡泡玛特,google_value,19.0
2026-08-11,泡泡玛特,抖音_mentions,0
2026-08-11,泡泡玛特,小红书_mentions,0
2026-08-11,泡泡玛特,微博_mentions,0
2026-08-11,泡泡玛特,知乎_mentions,0
2026-08-11,泡泡玛特,百度_mentions,0
2026-08-11,蜜雪集团,google_growth_1m,0.0
2026-08-11,蜜雪集团,google_growth_3m,6.7
2026-08-11,蜜雪集团,google_value,16.0
2026-08-11,蜜雪集团,抖音_mentions,0
2026-08-11,蜜雪集团,小红书_mentions,0
2026-08-11,蜜雪集团,微博_mentions,0
2026-08-11,蜜雪集团,知乎_mentions,0
2026-08-11,蜜雪集团,百度_mentions,0
2026-08-11,小米集团,google_growth_1m,-25.0
2026-08-11,小米集团,google_growth_3m,-20.3
2026-08-11,小米集团,google_value,51.0
2026-08-11,小米集团,抖音_mentions,0
2026-08-11,小米集团,小红书_mentions,0
2026-08-11,小米集团,微博_mentions,0
2026-08-11,小米集团,知乎_mentions,0
2026-08-11,小米集团,百度_mentions,0
2026-08-11,东方甄选,google_growth_1m,-56.2
2026-08-11,东方甄选,google_growth_3m,-12.5
2026-08-11,东方甄选,google_value,7.0
2026-08-11,东方甄选,抖音_mentions,0
2026-08-11,东方甄选,小红书_mentions,0
2026-08-11,东方甄选,微博_mentions,0
2026-08-11,东方甄选,知乎_mentions,0
2026-08-11,东方甄选,百度_mentions,0
2026-08-11,阿里巴巴,google_growth_1m,-12.0
2026-08-11,阿里巴巴,google_growth_3m,-8.3
2026-08-11,阿里巴巴,google_value,22.0
2026-08-11,阿里巴巴,抖音_mentions,0
2026-08-11,阿里巴巴,小红书_mentions,0
2026-08-11,阿里巴巴,微博_mentions,0
2026-08-11,阿里巴巴,知乎_mentions,0
2026-08-11,阿里巴巴,百度_mentions,0
2026-08-11,腾讯控股,google_growth_1m,-27.9
2026-08-11,腾讯控股,google_growth_3m,-14.9
2026-08-11,腾讯控股,google_value,57.0
2026-08-11,腾讯控股,抖音_mentions,0
2026-08-11,腾讯控股,小红书_mentions,0
2026-08-11,腾讯控股,微博_mentions,0
2026-08-11,腾讯控股,知乎_mentions,0
2026-08-11,腾讯控股,百度_mentions,0
2026-08-11,小鹏汽车,google_growth_1m,-2.2
2026-08-11,小鹏汽车,google_growth_3m,8.4
2026-08-11,小鹏汽车,google_value,90.0
2026-08-11,小鹏汽车,抖音_mentions,0
2026-08-11,小鹏汽车,小红书_mentions,0
2026-08-11,小鹏汽车,微博_mentions,0
2026-08-11,小鹏汽车,知乎_mentions,0
2026-08-11,小鹏汽车,百度_mentions,0
2026-08-11,美团,google_growth_1m,-60.4
2026-08-11,美团,google_growth_3m,-46.3
2026-08-11,美团,google_value,36.0
2026-08-11,美团,抖音_mentions,0
2026-08-11,美团,小红书_mentions,0
2026-08-11,美团,微博_mentions,0
2026-08-11,美团,知乎_mentions,0
2026-08-11,美团,百度_mentions,0
2026-08-11,携程,google_growth_1m,-18.2
2026-08-11,携程,google_growth_3m,-16.3
2026-08-11,携程,google_value,36.0
2026-08-11,携程,抖音_mentions,0
2026-08-11,携程,小红书_mentions,0
2026-08-11,携程,微博_mentions,0
2026-08-11,携程,知乎_mentions,1
2026-08-11,携程,百度_mentions,0
2026-08-11,老铺黄金,google_growth_1m,-38.0
2026-08-11,老铺黄金,google_growth_3m,72.2
2026-08-11,老铺黄金,google_value,62.0
2026-08-11,老铺黄金,抖音_mentions,0
2026-08-11,老铺黄金,小红书_mentions,0
2026-08-11,老铺黄金,微博_mentions,0
2026-08-11,老铺黄金,知乎_mentions,0
2026-08-11,老铺黄金,百度_mentions,0
2026-08-11,中芯国际,google_growth_1m,-41.9
2026-08-11,中芯国际,google_growth_3m,-12.2
2026-08-11,中芯国际,google_value,43.0
2026-08-11,中芯国际,抖音_mentions,0
2026-08-11,中芯国际,小红书_mentions,0
2026-08-11,中芯国际,微博_mentions,0
2026-08-11,中芯国际,知乎_mentions,0
2026-08-11,中芯国际,百度_mentions,0
2026-08-11,农夫山泉,google_growth_1m,4.8
2026-08-11,农夫山泉,google_growth_3m,109.5
2026-08-11,农夫山泉,google_value,44.0
2026-08-11,农夫山泉,抖音_mentions,0
2026-08-11,农夫山泉,小红书_mentions,0
2026-08-11,农夫山泉,微博_mentions,0
2026-08-11,农夫山泉,知乎_mentions,0
2026-08-11,农夫山泉,百度_mentions,0
2026-08-11,华虹宏力,google_growth_1m,-45.0
2026-08-11,华虹宏力,google_growth_3m,-23.3
2026-08-11,华虹宏力,google_value,33.0
2026-08-11,华虹宏力,抖音_mentions,0
2026-08-11,华虹宏力,小红书_mentions,0
2026-08-11,华虹宏力,微博_mentions,0
2026-08-11,华虹宏力,知乎_mentions,0
2026-08-11,华虹宏力,百度_mentions,0
2026-08-11,宁德时代,google_growth_1m,-60.9
2026-08-11,宁德时代,google_growth_3m,-54.4
2026-08-11,宁德时代,google_value,36.0
2026-08-11,宁德时代,抖音_mentions,0
2026-08-11,宁德时代,小红书_mentions,0
2026-08-11,宁德时代,微博_mentions,0
2026-08-11,宁德时代,知乎_mentions,0
2026-08-11,宁德时代,百度_mentions,1
2026-08-11,智谱,google_growth_1m,4.7
2026-08-11,智谱,google_growth_3m,-10.0
2026-08-11,智谱,google_value,45.0
2026-08-11,智谱,抖音_mentions,0
2026-08-11,智谱,小红书_mentions,0
2026-08-11,智谱,微博_mentions,0
2026-08-11,智谱,知乎_mentions,0
2026-08-11,智谱,百度_mentions,0
2026-08-12,泡泡玛特,google_growth_1m,-32.1
2026-08-12,泡泡玛特,google_growth_3m,-44.1
2026-08-12,泡泡玛特,google_value,19.0
2026-08-12,泡泡玛特,抖音_mentions,0
2026-08-12,泡泡玛特,小红书_mentions,0
2026-08-12,泡泡玛特,微博_mentions,0
2026-08-12,泡泡玛特,知乎_mentions,0
2026-08-12,泡泡玛特,百度_mentions,0
2026-08-12,蜜雪集团,google_growth_1m,0.0
2026-08-12,蜜雪集团,google_growth_3m,6.7
2026-08-12,蜜雪集团,google_value,16.0
2026-08-12,蜜雪集团,抖音_mentions,0
2026-08-12,蜜雪集团,小红书_mentions,0
2026-08-12,蜜雪集团,微博_mentions,0
2026-08-12,蜜雪集团,知乎_mentions,0
2026-08-12,蜜雪集团,百度_mentions,0
2026-08-12,小米集团,google_growth_1m,-25.0
2026-08-12,小米集团,google_growth_3m,-20.3
2026-08-12,小米集团,google_value,51.0
2026-08-12,小米集团,抖音_mentions,0
2026-08-12,小米集团,小红书_mentions,0
2026-08-12,小米集团,微博_mentions,1
2026-08-12,小米集团,知乎_mentions,0
2026-08-12,小米集团,百度_mentions,0
2026-08-12,东方甄选,google_growth_1m,-56.2
2026-08-12,东方甄选,google_growth_3m,-12.5
2026-08-12,东方甄选,google_value,7.0
2026-08-12,东方甄选,抖音_mentions,0
2026-08-12,东方甄选,小红书_mentions,0
2026-08-12,东方甄选,微博_mentions,0
2026-08-12,东方甄选,知乎_mentions,0
2026-08-12,东方甄选,百度_mentions,0
2026-08-12,阿里巴巴,google_growth_1m,-12.0
2026-08-12,阿里巴巴,google_growth_3m,-8.3
2026-08-12,阿里巴巴,google_value,22.0
2026-08-12,阿里巴巴,抖音_mentions,0
2026-08-12,阿里巴巴,小红书_mentions,0
2026-08-12,阿里巴巴,微博_mentions,0
2026-08-12,阿里巴巴,知乎_mentions,0
2026-08-12,阿里巴巴,百度_mentions,0
2026-08-12,腾讯控股,google_growth_1m,-27.9
2026-08-12,腾讯控股,google_growth_3m,-14.9
2026-08-12,腾讯控股,google_value,57.0
2026-08-12,腾讯控股,抖音_mentions,0
2026-08-12,腾讯控股,小红书_mentions,0
2026-08-12,腾讯控股,微博_mentions,0
2026-08-12,腾讯控股,知乎_mentions,0
2026-08-12,腾讯控股,百度_mentions,0
2026-08-12,小鹏汽车,google_growth_1m,-2.2
2026-08-12,小鹏汽车,google_growth_3m,8.4
2026-08-12,小鹏汽车,google_value,90.0
2026-08-12,小鹏汽车,抖音_mentions,0
2026-08-12,小鹏汽车,小红书_mentions,0
2026-08-12,小鹏汽车,微博_mentions,0
2026-08-12,小鹏汽车,知乎_mentions,0
2026-08-12,小鹏汽车,百度_mentions,0
2026-08-12,美团,google_growth_1m,-60.4
2026-08-12,美团,google_growth_3m,-46.3
2026-08-12,美团,google_value,36.0
2026-08-12,美团,抖音_mentions,0
2026-08-12,美团,小红书_mentions,0
2026-08-12,美团,微博_mentions,0
2026-08-12,美团,知乎_mentions,1
2026-08-12,美团,百度_mentions,0
2026-08-12,携程,google_growth_1m,-18.2
2026-08-12,携程,google_growth_3m,-16.3
2026-08-12,携程,google_value,36.0
2026-08-12,携程,抖音_mentions,0
2026-08-12,携程,小红书_mentions,0
2026-08-12,携程,微博_mentions,0
2026-08-12,携程,知乎_mentions,0
2026-08-12,携程,百度_mentions,0
2026-08-12,老铺黄金,google_growth_1m,-38.0
2026-08-12,老铺黄金,google_growth_3m,72.2
2026-08-12,老铺黄金,google_value,62.0
2026-08-12,老铺黄金,抖音_mentions,0
2026-08-12,老铺黄金,小红书_mentions,0
2026-08-12,老铺黄金,微博_mentions,0
2026-08-12,老铺黄金,知乎_mentions,0
2026-08-12,老铺黄金,百度_mentions,0
2026-08-12,中芯国际,google_growth_1m,-41.9
2026-08-12,中芯国际,google_growth_3m,-12.2
2026-08-12,中芯国际,google_value,43.0
2026-08-12,中芯国际,抖音_mentions,0
2026-08-12,中芯国际,小红书_mentions,0
2026-08-12,中芯国际,微博_mentions,0
2026-08-12,中芯国际,知乎_mentions,0
2026-08-12,中芯国际,百度_mentions,0
2026-08-12,农夫山泉,google_growth_1m,4.8
2026-08-12,农夫山泉,google_growth_3m,109.5
2026-08-12,农夫山泉,google_value,44.0
2026-08-12,农夫山泉,抖音_mentions,0
2026-08-12,农夫山泉,小红书_mentions,0
2026-08-12,农夫山泉,微博_mentions,0
2026-08-12,农夫山泉,知乎_mentions,0
2026-08-12,农夫山泉,百度_mentions,0
2026-08-12,华虹宏力,google_growth_1m,-45.0
2026-08-12,华虹宏力,google_growth_3m,-23.3
2026-08-12,华虹宏力,google_value,33.0
2026-08-12,华虹宏力,抖音_mentions,0
2026-08-12,华虹宏力,小红书_mentions,0
2026-08-12,华虹宏力,微博_mentions,0
2026-08-12,华虹宏力,知乎_mentions,0
2026-08-12,华虹宏力,百度_mentions,0
2026-08-12,宁德时代,google_growth_1m,-60.9
2026-08-12,宁德时代,google_growth_3m,-54.4
2026-08-12,宁德时代,google_value,36.0
2026-08-12,宁德时代,抖音_mentions,0
2026-08-12,宁德时代,小红书_mentions,0
2026-08-12,宁德时代,微博_mentions,0
2026-08-12,宁德时代,知乎_mentions,1
2026-08-12,宁德时代,百度_mentions,0
2026-08-12,智谱,google_growth_1m,4.7
2026-08-12,智谱,google_growth_3m,-10.0
2026-08-12,智谱,google_value,45.0
2026-08-12,智谱,抖音_mentions,0
2026-08-12,智谱,小红书_mentions,0
2026-08-12,智谱,微博_mentions,0
2026-08-12,智谱,知乎_mentions,0
2026-08-12,智谱,百度_mentions,0
2026-08-13,泡泡玛特,google_growth_1m,-32.1
2026-08-13,泡泡玛特,google_growth_3m,-44.1
2026-08-13,泡泡玛特,google_value,19.0
2026-08-13,泡泡玛特,抖音_mentions,0
2026-08-13,泡泡玛特,小红书_mentions,0
2026-08-13,泡泡玛特,微博_mentions,0
2026-08-13,泡泡玛特,知乎_mentions,0
2026-08-13,泡泡玛特,百度_mentions,0
2026-08-13,蜜雪集团,google_growth_1m,0.0
2026-08-13,蜜雪集团,google_growth_3m,6.7
2026-08-13,蜜雪集团,google_value,16.0
2026-08-13,蜜雪集团,抖音_mentions,0
